presidency_number,person_id,name,party,age_years,days_at_this_age
37,nixon,Richard Nixon,Republican,57,365
37,nixon,Richard Nixon,Republican,58,365
37,nixon,Richard Nixon,Republican,59,366
37,nixon,Richard Nixon,Republican,60,365
37,nixon,Richard Nixon,Republican,61,212
38,ford,Gerald Ford,Republican,61,339
38,ford,Gerald Ford,Republican,62,366
38,ford,Gerald Ford,Republican,63,190
39,carter,Jimmy Carter,Democratic,52,254
39,carter,Jimmy Carter,Democratic,53,365
39,carter,Jimmy Carter,Democratic,54,365
39,carter,Jimmy Carter,Democratic,55,366
39,carter,Jimmy Carter,Democratic,56,111
40,reagan,Ronald Reagan,Republican,69,17
40,reagan,Ronald Reagan,Republican,70,365
40,reagan,Ronald Reagan,Republican,71,365
40,reagan,Ronald Reagan,Republican,72,365
40,reagan,Ronald Reagan,Republican,73,366
40,reagan,Ronald Reagan,Republican,74,365
40,reagan,Ronald Reagan,Republican,75,365
40,reagan,Ronald Reagan,Republican,76,365
40,reagan,Ronald Reagan,Republican,77,349
41,ghwbush,George H. W. Bush,Republican,64,143
41,ghwbush,George H. W. Bush,Republican,65,365
41,ghwbush,George H. W. Bush,Republican,66,365
41,ghwbush,George H. W. Bush,Republican,67,366
41,ghwbush,George H. W. Bush,Republican,68,222
42,clinton,Bill Clinton,Democratic,46,211
42,clinton,Bill Clinton,Democratic,47,365
42,clinton,Bill Clinton,Democratic,48,365
42,clinton,Bill Clinton,Democratic,49,366
42,clinton,Bill Clinton,Democratic,50,365
42,clinton,Bill Clinton,Democratic,51,365
42,clinton,Bill Clinton,Democratic,52,365
42,clinton,Bill Clinton,Democratic,53,366
42,clinton,Bill Clinton,Democratic,54,154
43,gwbush,George W. Bush,Republican,54,167
43,gwbush,George W. Bush,Republican,55,365
43,gwbush,George W. Bush,Republican,56,365
43,gwbush,George W. Bush,Republican,57,366
43,gwbush,George W. Bush,Republican,58,365
43,gwbush,George W. Bush,Republican,59,365
43,gwbush,George W. Bush,Republican,60,365
43,gwbush,George W. Bush,Republican,61,366
43,gwbush,George W. Bush,Republican,62,198
44,obama,Barack Obama,Democratic,47,196
44,obama,Barack Obama,Democratic,48,365
44,obama,Barack Obama,Democratic,49,365
44,obama,Barack Obama,Democratic,50,366
44,obama,Barack Obama,Democratic,51,365
44,obama,Barack Obama,Democratic,52,365
44,obama,Barack Obama,Democratic,53,365
44,obama,Barack Obama,Democratic,54,366
44,obama,Barack Obama,Democratic,55,169
45,trump,Donald Trump,Republican,70,145
45,trump,Donald Trump,Republican,71,365
45,trump,Donald Trump,Republican,72,365
45,trump,Donald Trump,Republican,73,366
45,trump,Donald Trump,Republican,74,220
46,biden,Joe Biden,Democratic,78,304
46,biden,Joe Biden,Democratic,79,365
46,biden,Joe Biden,Democratic,80,365
46,biden,Joe Biden,Democratic,81,366
46,biden,Joe Biden,Democratic,82,61
47,trump,Donald Trump,Republican,78,145
47,trump,Donald Trump,Republican,79,365
47,trump,Donald Trump,Republican,80,58
